地区,人口数(人),比重(%)
北京,13819000,1.07
天津,10008000,0.77
河北,67440000,5.21
山西,32972000,2.55
内蒙古,23760000,1.83
辽宁,42380000,3.27
吉林,27280000,2.11
黑龙江,36890000,2.85
上海,16738000,1.29
江苏,74383000,5.74
浙江,46769800,3.61
安徽,59860000,4.62
福建,34710000,2.68
江西,41400000,3.20
山东,90790000,7.01
河南,92560000,7.15
湖北,60278000,4.65
湖南,64400000,4.97
广东,86420000,6.67
广西,44890000,3.47
海南,7870000,0.61
重庆,30900000,2.39
四川,83290000,6.43
贵州,35250000,2.72
云南,42880000,3.31
西藏,2616000,0.20
陕西,36050000,2.78
甘肃,25620000,1.98
青海,5182000,0.40
宁夏,5616000,0.43
新疆,19250000,1.49
