地区,人口数(人),比重(%)
北京,19612368,1.46
天津,12938224,0.97
河北,71854202,5.36
山西,35712111,2.67
内蒙古,24706321,1.84
辽宁,43746323,3.27
吉林,27462297,2.05
黑龙江,38312224,2.86
上海,23019148,1.72
江苏,78659903,5.87
浙江,54426891,4.06
安徽,59500510,4.44
福建,36894216,2.75
江西,44567475,3.33
山东,95793065,7.15
河南,94023567,7.02
湖北,57237740,4.27
湖南,65683722,4.90
广东,104303132,7.79
广西,46026629,3.44
海南,8671518,0.65
重庆,28846170,2.15
四川,80418200,6.00
贵州,34746468,2.59
云南,45966239,3.43
西藏,3002166,0.22
陕西,37327378,2.79
甘肃,25575254,1.91
青海,5626722,0.42
宁夏,6301350,0.47
新疆,21813334,1.63
