订单编号,订单日期,客户名称,图书编号,销量(本)
DD-2011-001,2011-01-15,隆华书店,BK-83021,10
DD-2011-002,2011-02-20,隆华书店,BK-10001,20
DD-2011-003,2011-04-10,隆华书店,BK-10003,15
DD-2011-004,2011-07-08,隆华书店,BK-83021,12
DD-2011-005,2011-08-16,隆华书店,BK-10004,8
DD-2011-006,2011-09-25,隆华书店,BK-10002,10
DD-2011-007,2011-11-05,隆华书店,BK-10005,6
DD-2011-008,2011-03-12,新华书店,BK-10006,25
DD-2011-009,2011-05-22,人民书店,BK-10007,4
DD-2011-010,2011-06-18,大学书店,BK-83021,30
DD-2011-011,2011-10-09,新华书店,BK-10002,12
DD-2011-012,2011-12-28,人民书店,BK-10001,18
DD-2012-001,2012-01-16,隆华书店,BK-83021,20
DD-2012-002,2012-02-11,新华书店,BK-83021,15
DD-2012-003,2012-03-27,大学书店,BK-83021,18
DD-2012-004,2012-03-30,隆华书店,BK-10004,10
DD-2012-005,2012-05-06,人民书店,BK-10006,8
DD-2012-006,2012-06-19,新华书店,BK-10005,9
DD-2012-007,2012-07-23,隆华书店,BK-10007,5
DD-2012-008,2012-09-14,大学书店,BK-10003,22
DD-2012-009,2012-10-21,人民书店,BK-10002,14
DD-2012-010,2012-11-30,新华书店,BK-10001,10
DD-2012-011,2012-12-15,大学书店,BK-10004,6
